date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:36:09	4756/4756	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267c69b35-1294%22	https://html.awaikenthemes.com/infine/images/company-logo-2.svg	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/company-logo-2.svg	(from https://html.awaikenthemes.com/infine/about.html)
17:36:10	6641/6641	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267c69b35-19f1%22	https://html.awaikenthemes.com/infine/images/company-logo-3.svg	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/company-logo-3.svg	(from https://html.awaikenthemes.com/infine/about.html)
17:36:10	5361/5361	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267c69b35-14f1%22	https://html.awaikenthemes.com/infine/images/company-logo-4.svg	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/company-logo-4.svg	(from https://html.awaikenthemes.com/infine/about.html)
17:36:10	6627/6627	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267c69b35-19e3%22	https://html.awaikenthemes.com/infine/images/company-logo-5.svg	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/company-logo-5.svg	(from https://html.awaikenthemes.com/infine/about.html)
17:36:10	5772/5772	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267c69b35-168c%22	https://html.awaikenthemes.com/infine/images/company-logo-6.svg	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/company-logo-6.svg	(from https://html.awaikenthemes.com/infine/about.html)
17:36:10	5555/5555	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267c69b35-15b3%22	https://html.awaikenthemes.com/infine/images/company-logo-7.svg	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/company-logo-7.svg	(from https://html.awaikenthemes.com/infine/about.html)
17:36:11	5772/5772	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267c69b35-168c%22	https://html.awaikenthemes.com/infine/images/company-logo-8.svg	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/company-logo-8.svg	(from https://html.awaikenthemes.com/infine/about.html)
17:36:11	169741/169741	---M--	200	added ('OK')	image/jpeg	etag:%2267c69b35-2970d%22	https://html.awaikenthemes.com/infine/images/why-choose-us-img-1.jpg	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/why-choose-us-img-1.jpg	(from https://html.awaikenthemes.com/infine/about.html)
17:36:11	175238/175238	---M--	200	added ('OK')	image/jpeg	etag:%2267c69b35-2ac86%22	https://html.awaikenthemes.com/infine/images/why-choose-us-img-2.jpg	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/why-choose-us-img-2.jpg	(from https://html.awaikenthemes.com/infine/about.html)
17:36:11	45302/45302	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267c69b35-b0f6%22	https://html.awaikenthemes.com/infine/images/why-choose-contact-circle.svg	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/why-choose-contact-circle.svg	(from https://html.awaikenthemes.com/infine/about.html)
17:36:11	157946/157946	---M--	200	added ('OK')	image/jpeg	etag:%2267c69b35-268fa%22	https://html.awaikenthemes.com/infine/images/team-1.jpg	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/team-1.jpg	(from https://html.awaikenthemes.com/infine/about.html)
17:36:12	132856/132856	---M--	200	added ('OK')	image/jpeg	etag:%2267c69b35-206f8%22	https://html.awaikenthemes.com/infine/images/team-2.jpg	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/team-2.jpg	(from https://html.awaikenthemes.com/infine/about.html)
